ISO_A3,ghsl_year,flood_type,return_period,ftm3_ghsl_total_built_s_km2,ghsl_total_built_s_km2,relative_exposure_pct
TCD,2005,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.2327528,328.352,0.679987574
TCD,2005,FLUVIAL_PLUVIAL_DEFENDED,1in100,30.29048,328.352,9.225002436
TCD,2005,FLUVIAL_PLUVIAL_DEFENDED,1in5,0.8715414,328.352,0.265428991
TCD,2010,FLUVIAL_PLUVIAL_DEFENDED,1in10,2.5721967,377.60217,0.681192245
TCD,2010,FLUVIAL_PLUVIAL_DEFENDED,1in100,35.702602,377.60217,9.455083905
TCD,2010,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.003235,377.60217,0.265685708
TCD,2015,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.0524356,445.9139,0.68453475
TCD,2015,FLUVIAL_PLUVIAL_DEFENDED,1in100,42.538116,445.9139,9.539535771
TCD,2015,FLUVIAL_PLUVIAL_DEFENDED,1in5,1.2009248,445.9139,0.269317642
TCD,2020,FLUVIAL_PLUVIAL_DEFENDED,1in10,3.8762345,556.0118,0.697149683
TCD,2020,FLUVIAL_PLUVIAL_DEFENDED,1in100,51.42641,556.0118,9.249158021
