Country Code,Year,Indicator,Value
BEN,2023,At least basic,0.7591105874393635
BEN,2023,Limited (more than 30 mins),0.05401138025479824
BEN,2023,Surface water,0.01016874753116099
BEN,2023,Unimproved,0.1767092847746773
BEN,2024,At least basic,0.7589693003845674
BEN,2024,Limited (more than 30 mins),0.05474800723753944
BEN,2024,Surface water,0.008440131702832332
BEN,2024,Unimproved,0.17784256067506082
BFA,2000,At least basic,0.7851675130640342
BFA,2000,Limited (more than 30 mins),0.1209737104706875
BFA,2000,Surface water,0.002233743244418432
BFA,2000,Unimproved,0.09162503322085987
BFA,2001,At least basic,0.7851675130640342
BFA,2001,Limited (more than 30 mins),0.1209737104706875
BFA,2001,Surface water,0.002233743244418432
BFA,2001,Unimproved,0.09162503322085987
BFA,2002,At least basic,0.7864612610232795
BFA,2002,Limited (more than 30 mins),0.12165163552388851
BFA,2002,Surface water,0.0022306051798210817
BFA,2002,Unimproved,0.08965649827301089
BFA,2003,At least basic,0.787753208216396
BFA,2003,Limited (more than 30 mins),0.12233136134321819
BFA,2003,Surface water,0.002227467115223732
BFA,2003,Unimproved,0.08768796332516192
BFA,2004,At least basic,0.7890433546433836
BFA,2004,Limited (more than 30 mins),0.12301288792867711
BFA,2004,Surface water,0.0022243290506263817
BFA,2004,Unimproved,0.08571942837731295
BFA,2005,At least basic,0.7903317003042423
BFA,2005,Limited (more than 30 mins),0.1236962152802647
BFA,2005,Surface water,0.002221190986029031
BFA,2005,Unimproved,0.08375089342946396
BFA,2006,At least basic,0.791618245198972
BFA,2006,Limited (more than 30 mins),0.1243813433979814
BFA,2006,Surface water,0.002218052921431681
BFA,2006,Unimproved,0.08178235848161497
BFA,2007,At least basic,0.7929029893275729
BFA,2007,Limited (more than 30 mins),0.1250682722818269
BFA,2007,Surface water,0.002214914856834331
BFA,2007,Unimproved,0.079813823533766
BFA,2008,At least basic,0.7941859326900449
BFA,2008,Limited (more than 30 mins),0.1257570019318011
BFA,2008,Surface water,0.0022117767922369812
BFA,2008,Unimproved,0.07784528858591701
BFA,2009,At least basic,0.7954670752863877
BFA,2009,Limited (more than 30 mins),0.1264475323479046
BFA,2009,Surface water,0.002208638727639631
BFA,2009,Unimproved,0.07587675363806803
BFA,2010,At least basic,0.7967464171166019
BFA,2010,Limited (more than 30 mins),0.12713986353013682
BFA,2010,Surface water,0.00220550066304228
BFA,2010,Unimproved,0.07390821869021905
BFA,2011,At least basic,0.798023958180687
BFA,2011,Limited (more than 30 mins),0.127833995478498
BFA,2011,Surface water,0.00220236259844493
BFA,2011,Unimproved,0.07193968374237007
BFA,2012,At least basic,0.7992996984786435
BFA,2012,Limited (more than 30 mins),0.1285299281929879
BFA,2012,Surface water,0.00219922453384758
BFA,2012,Unimproved,0.0699711487945211
BFA,2013,At least basic,0.8005736380104708
BFA,2013,Limited (more than 30 mins),0.1292276616736069
BFA,2013,Surface water,0.00219608646925023
BFA,2013,Unimproved,0.06800261384667211
BFA,2014,At least basic,0.8018457767761693
