Year,ISO3,population
2083,ISR,17715324.0
2084,ISR,17849910.0
2085,ISR,17987656.0
2086,ISR,18120112.0
2087,ISR,18249989.0
2088,ISR,18374063.0
2089,ISR,18493896.0
2090,ISR,18607488.0
2091,ISR,18727503.0
2092,ISR,18847629.0
2093,ISR,18966321.0
2094,ISR,19084240.0
2095,ISR,19193717.0
2096,ISR,19299945.0
2097,ISR,19406095.0
2098,ISR,19503805.0
2099,ISR,19599804.0
2100,ISR,19699919.0
2101,ISR,19794161.0
1950,ITA,46175129.0
1951,ITA,46608218.0
1952,ITA,46895580.0
1953,ITA,47140779.0
1954,ITA,47680991.0
1955,ITA,47983479.0
1956,ITA,48278157.0
1957,ITA,48525746.0
1958,ITA,48788322.0
1959,ITA,49065876.0
1960,ITA,49373015.0
1961,ITA,49656095.0
1962,ITA,49974404.0
1963,ITA,50366775.0
1964,ITA,50775178.0
1965,ITA,51263979.0
1966,ITA,51697476.0
1967,ITA,52140658.0
1968,ITA,52536010.0
1969,ITA,52888301.0
1970,ITA,53231973.0
1971,ITA,53548498.0
1972,ITA,53867091.0
1973,ITA,54268034.0
1974,ITA,54633100.0
1975,ITA,55009127.0
1976,ITA,55322963.0
1977,ITA,55595868.0
1978,ITA,55833242.0
1979,ITA,56044689.0
1980,ITA,56220071.0
1981,ITA,56604098.0
1982,ITA,56689402.0
1983,ITA,56748949.0
1984,ITA,56783274.0
1985,ITA,56837431.0
1986,ITA,56873570.0
1987,ITA,56878405.0
1988,ITA,56905447.0
1989,ITA,56952055.0
1990,ITA,57001455.0
1991,ITA,57061452.0
1992,ITA,57089335.0
1993,ITA,57160644.0
1994,ITA,57180883.0
1995,ITA,57659393.0
1996,ITA,57147294.0
1997,ITA,57176889.0
1998,ITA,57201660.0
1999,ITA,57228729.0
2000,ITA,57252868.0
2001,ITA,57291525.0
2002,ITA,57319996.0
2003,ITA,57521259.0
2004,ITA,57958139.0
2005,ITA,58395336.0
2006,ITA,58644050.0
2007,ITA,58864816.0
2008,ITA,59352624.0
2009,ITA,59770744.0
2010,ITA,60037277.0
2011,ITA,60291149.0
2012,ITA,60444610.0
2013,ITA,60618420.0
2014,ITA,60689317.0
2015,ITA,60639026.0
2016,ITA,60511606.0
2017,ITA,60444609.0
2018,ITA,60336027.0
2019,ITA,60218970.0
2020,ITA,60041302.0
2021,ITA,59784236.0
2022,ITA,59674464.0
2023,ITA,59563765.0
2024,ITA,59435141.0
2025,ITA,59250593.0
2026,ITA,59041927.0
2027,ITA,58810406.0
2028,ITA,58567152.0
2029,ITA,58324514.0
2030,ITA,58077538.0
2031,ITA,57814606.0
2032,ITA,57545634.0
2033,ITA,57287368.0
2034,ITA,57025527.0
2035,ITA,56756306.0
2036,ITA,56483705.0
2037,ITA,56213683.0
2038,ITA,55935669.0
2039,ITA,55656847.0
2040,ITA,55365780.0
2041,ITA,55076555.0
2042,ITA,54787339.0
2043,ITA,54484576.0
2044,ITA,54162968.0
2045,ITA,53845728.0
2046,ITA,53515213.0
2047,ITA,53176950.0
2048,ITA,52820760.0
2049,ITA,52460810.0
2050,ITA,52085960.0
2051,ITA,51696237.0
2052,ITA,51302781.0
2053,ITA,50901372.0
2054,ITA,50483376.0
2055,ITA,50059662.0
2056,ITA,49625326.0
2057,ITA,49177240.0
2058,ITA,48728348.0
2059,ITA,48271533.0
