Agglomeration_ID,Agglomeration_Name,ISO3,africapolis_pop_2015,africapolis_pop_2020
3542.0,Glogbo/Seme [NGA],NGA,13400.0,30386.0
6961.0,Ode Omu,NGA,45110.0,30362.0
3855.0,Ibaka,NGA,10222.0,30248.0
7636.0,Saho Rami,NGA,13891.0,30183.0
7293.0,Pategi,NGA,29403.0,30178.0
6977.0,Ofugu Inye,NGA,50826.0,30171.0
2980.0,Eha Amufu,NGA,13465.0,30036.0
8572.0,Tor Donga,NGA,31010.0,29985.0
5726.0,Mariga ,NGA,18779.0,29969.0
3002.0,Ekpene Ukim,NGA,23790.0,29939.0
4000.0,Ikot Ubo,NGA,27608.0,29936.0
2282.0,Buter,NGA,21480.0,29934.0
6979.0,Ogbaniko,NGA,45370.0,29893.0
7610.0,Sabon Birni 1,NGA,25785.0,29818.0
7047.0,Okpo,NGA,69941.0,29755.0
4951.0,Kokori,NGA,38554.0,29751.0
2587.0,Dan Hassan,NGA,11040.0,29708.0
4013.0,Ilawe Ekiti,NGA,44516.0,29613.0
2589.0,Dansadau,NGA,14925.0,29585.0
3495.0,Giade,NGA,23520.0,29521.0
6992.0,Ogoja,NGA,50773.0,29507.0
1512.0,Bakumi,NGA,34737.0,29244.0
9074.0,Yelwa 3,NGA,16653.0,29211.0
284.0,Ahaba,NGA,22875.0,29086.0
1986.0,Bodo,NGA,14645.0,29023.0
8770.0,Umunede,NGA,60492.0,28975.0
4582.0,Karshi 1,NGA,35118.0,28914.0
8808.0,Uzebba,NGA,57760.0,28746.0
4280.0,Kachako,NGA,16396.0,28743.0
6071.0,Miringa,NGA,16560.0,28721.0
376.0,Aiyete,NGA,34900.0,28461.0
4576.0,Karim Lamido,NGA,27936.0,28404.0
8714.0,Ugwalawo,NGA,41440.0,28305.0
5195.0,Lafia_2,NGA,29461.0,28206.0
5263.0,Lessel,NGA,49031.0,28196.0
6014.0,Minjibir,NGA,22651.0,28098.0
7262.0,Paiko,NGA,34318.0,28071.0
1483.0,Bagudo,NGA,32694.0,28046.0
4079.0,Ipokia,NGA,10615.0,28045.0
7001.0,Ogume,NGA,27840.0,28040.0
3204.0,Faskari,NGA,18842.0,28027.0
5168.0,Kwaya,NGA,19934.0,28000.0
1792.0,Bena,NGA,25063.0,28000.0
7037.0,Oko Ita,NGA,22110.0,27958.0
5839.0,Mbacub,NGA,25215.0,27946.0
4147.0,Iworoko,NGA,40077.0,27922.0
8361.0,Tanglang,NGA,31356.0,27916.0
2258.0,Buruku 2,NGA,13971.0,27907.0
5728.0,Marmara,NGA,12266.0,27781.0
1473.0,Baga ,NGA,33876.0,27701.3207462159
1244.0,Anyigba,NGA,44564.0,27646.0
3127.0,Ajido,NGA,27160.0,27577.0
3478.0,Getso,NGA,13040.0,27465.0
5537.0,Maiadua,NGA,20729.0,27304.0
4927.0,Kiyawa ,NGA,20240.0,27268.0
3177.0,Eziama/Okpuala,NGA,14000.0,27239.0
4882.0,Kiru,NGA,16320.0,27129.0
4623.0,Kasuwan Magani,NGA,22231.0,27122.0
6704.0,Ngo,NGA,13813.0,27084.0
7048.0,Okpoga,NGA,71175.0,27031.0
8616.0,Kofar Arewa,NGA,12138.0,26961.0
5077.0,Kukawa,NGA,21562.0,26844.0
3958.0,Ihugh,NGA,27960.0,26796.0
5743.0,Maru,NGA,20025.0,26747.0
2518.0,Dabai,NGA,10716.0,26709.0
4447.0,Kalgo,NGA,17844.0,26675.0
4509.0,Kangiwa,NGA,29048.0,26524.0
3360.0,Gandi,NGA,11111.0,26413.0
8268.0,Tafawa Balewa,NGA,41492.0,26386.0
7085.0,Omor,NGA,23184.0,26342.0
2236.0,Bunkure,NGA,11623.0,26330.0
2643.0,Dawaki ,NGA,22699.0,26316.0
9047.0,Yakum,NGA,27625.0,26273.0
7517.0,Rimi 1,NGA,15777.0,26270.0
1746.0,Bebeji,NGA,13881.0,26261.0
6676.0,New Wara,NGA,22741.0,26250.0
5769.0,Maska,NGA,10239.0,26205.0
4171.0,Jahuna,NGA,10293.0,26177.0
3435.0,Gbajimba,NGA,17580.0,26144.0
2637.0,Dass,NGA,35014.0,25959.0
5231.0,Lassa,NGA,18746.0,25814.0
2826.0,Dogon Yaro,NGA,17000.0,25796.0
6497.0,Nafuchi,NGA,12570.0,25742.0
