unique_id,ISO3,Agglomeration_Name,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_km2_2025,africapolis_pop_2015,africapolis_pop_2020,africapolis_pop_2025,worldpop_built_cagr_2015_2020,worldpop_built_cagr_2020_2025,africapolis_pop_cagr_2015_2020,africapolis_pop_cagr_2020_2025,buppercapita_2015,size_category_2015,buppercapita_2020,size_category_2020,buppercapita_2025,size_category_2025
SOM_2054,SOM,Borama,2.474221,2.809869,2.860735,80500,117526,163624,0.025768874453401924,0.0035945894522684263,0.07861787938256515,0.06842147841186752,30.735664596273296,Fewer than 300 000,23.908488334496194,Fewer than 300 000,17.48359042683225,Fewer than 300 000
SOM_2055,SOM,Bosaso,3.958005,4.167861,4.185086,116100,121160,125749,0.010386134143990366,0.0008252000394382009,0.008568520905745114,0.007462883640046325,34.09134366925065,Fewer than 300 000,34.39964509739188,Fewer than 300 000,33.281266650231814,Fewer than 300 000
SOM_224,SOM,Afgoye,1.788564,1.838685,1.848807,47700,49500,51028,0.005542820692441497,0.0010985878067644173,0.007435763341501644,0.006098889371261684,37.49610062893082,Fewer than 300 000,37.14515151515151,Fewer than 300 000,36.23122599357215,Fewer than 300 000
SOM_2242,SOM,Burao,5.161051,5.600173,5.628499,235000,234927,234927,0.01646553691738073,0.0010095710790258838,-6.213538070576341e-05,0.0,21.96191914893617,Fewer than 300 000,23.837928377751386,Fewer than 300 000,23.95850200274979,Fewer than 300 000
SOM_2255,SOM,Burtinle,0.887735,0.972628,0.982162,18400,20600,23117,0.018433520175729967,0.0019528198398943708,0.022845124682486118,0.023323271385947253,48.24646739130435,Fewer than 300 000,47.214951456310686,Fewer than 300 000,42.48656832633992,Fewer than 300 000
SOM_228,SOM,Afmadow,0.646799,0.707089,0.709562,12300,20300,30343,0.017983991000949162,0.0006985111001576172,0.10539675490060763,0.08370854015696993,52.58528455284553,Fewer than 300 000,34.831970443349746,Fewer than 300 000,23.384701578617804,Fewer than 300 000
SOM_2290,SOM,Buuhoodle,0.811077,1.06477,1.092411,32800,35000,37283,0.05593879006607039,0.005138832084786493,0.013068566165098217,0.012718074914501942,24.727957317073173,Fewer than 300 000,30.422,Fewer than 300 000,29.30051229783011,Fewer than 300 000
SOM_2291,SOM,Bulobarde ,0.616671,0.626496,0.628265,11700,18200,30732,0.003166348972756472,0.0005640915088724885,0.09238846414037294,0.11046247487586269,52.70692307692307,Fewer than 300 000,34.42285714285714,Fewer than 300 000,20.4433489522322,Fewer than 300 000
SOM_2292,SOM,Buur Hakaba,0.982468,1.030296,1.042401,13100,40400,65935,0.009552061557609015,0.0023388441499403445,0.2526277076215646,0.10292740776789966,74.99755725190839,Fewer than 300 000,25.502376237623768,Fewer than 300 000,15.809524531735798,Fewer than 300 000
SOM_2702,SOM,Dusa Mareb,0.85266,1.214918,1.233362,23000,32355,43959,0.07338177063488249,0.0030179827983880525,0.07063814780514499,0.06321545281638241,37.07217391304348,Fewer than 300 000,37.54962138772987,Fewer than 300 000,28.05709866011511,Fewer than 300 000
SOM_2738,SOM,Dinsoor,0.627421,0.938754,0.947891,13600,41000,66914,0.0839232950369262,0.00193908814194943,0.2469498567621018,0.10292664074997138,46.13389705882353,Fewer than 300 000,22.896439024390244,Fewer than 300 000,14.165809845473294,Fewer than 300 000
SOM_2856,SOM,Dolow (north),0.209638,0.379021,0.396327,11400,45000,88880,0.12574143933338555,0.008969590954764017,0.316017100176736,0.14582503384921797,18.389298245614032,Fewer than 300 000,8.422688888888889,Fewer than 300 000,4.459124662466247,Fewer than 300 000
SOM_2963,SOM,'Erigavo,1.102947,1.17087,1.181024,31100,35000,39487,0.012023988642190897,0.0017284513615249963,0.023909402375788202,0.024418043040576265,35.464533762057876,Fewer than 300 000,33.453428571428574,Fewer than 300 000,29.90918530149163,Fewer than 300 000
