ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3
BFA,BFA_3189,Falagountou,3.0,2015,2015,11060.0,0.559523,2428903.0
BFA,BFA_3369,Gaoua,13.0,2015,2015,27214.0,3.017681,20999928.0
BFA,BFA_3379,Garango,11.0,2015,2015,19058.0,1.872256,9307823.0
BFA,BFA_3572,Gonboussou,5.0,2015,2015,7324.0,0.802207,3473641.0
BFA,BFA_3594,Gourcy,12.0,2015,2015,28455.0,1.840212,9338269.0
BFA,BFA_3650,Lanfiera,5.0,2015,2015,12083.0,1.138365,6554640.0
BFA,BFA_3831,Hounde,15.0,2015,2015,37131.0,3.675305,23192400.0
BFA,BFA_4041,Imasgho,3.0,2015,2015,2952.0,0.33134,1497035.0
BFA,BFA_4665,Kaya,27.0,2015,2015,82268.0,4.620211,28396148.0
BFA,BFA_4849,Kindi,5.0,2015,2015,4000.0,0.506363,1973995.0
BFA,BFA_4950,Kokologho,6.0,2015,2015,8848.0,1.109209,6884332.0
BFA,BFA_4969,Kombissiri,8.0,2015,2015,10968.0,1.489955,8370169.0
BFA,BFA_4973,Kompienbiga,1.0,2015,2015,1201.0,0.206051,652783.0
BFA,BFA_4974,Kompienga,2.0,2015,2015,2566.0,0.446608,2757208.0
BFA,BFA_4981,Kongoussi,10.0,2015,2015,32667.0,1.498574,8441481.0
BFA,BFA_5001,Korsimoro,4.0,2015,2015,9335.0,0.796916,4117905.0
BFA,BFA_5011,Koudougou,50.0,2015,2015,122665.0,12.465267,101623232.0
BFA,BFA_5013,Kouka,8.0,2015,2015,10585.0,1.10801,5381482.0
BFA,BFA_5027,Koupela,14.0,2015,2015,34957.0,3.413628,21027412.0
BFA,BFA_5028,Kourouma,4.0,2015,2015,4371.0,0.611297,2785276.0
BFA,BFA_5183,Kyon,5.0,2015,2015,4122.0,0.302098,968561.0
BFA,BFA_5256,Leo,16.0,2015,2015,28775.0,3.071454,19293612.0
BFA,BFA_5649,Manga,10.0,2015,2015,13736.0,1.948628,10733154.0
BFA,BFA_6187,Mogtedo,5.0,2015,2015,12841.0,1.273818,7504047.0
BFA,BFA_6491,Nadiagou,3.0,2015,2015,3945.0,0.596726,3147936.0
BFA,BFA_6535,Namponkore,2.0,2015,2015,1676.0,0.228909,763053.0
BFA,BFA_6568,Natiaboani,1.0,2015,2015,890.0,0.246709,1415142.0
BFA,BFA_6744,Nianaba,7.0,2015,2015,6201.0,0.876994,3083556.0
BFA,BFA_6747,Niangoloko,11.0,2015,2015,16854.0,2.5708,15446240.0
BFA,BFA_6749,Niaogho,5.0,2015,2015,6106.0,1.11202,5767887.0
BFA,BFA_6853,Nouna,15.0,2015,2015,29579.0,2.289679,16290167.0
BFA,BFA_7120,Orodara,8.0,2015,2015,20414.0,1.700856,9560738.0
BFA,BFA_7156,Ouagadougou,452.0,2015,2015,2258430.0,132.440648,900068864.0
BFA,BFA_7157,Ouahigouya,31.0,2015,2015,100541.0,6.077099,35313820.0
BFA,BFA_7162,Ouargaye,4.0,2015,2015,7444.0,0.664452,3367983.0
BFA,BFA_7272,Pama,3.0,2015,2015,3137.0,0.527486,2642184.0
BFA,BFA_7325,Piela,4.0,2015,2015,8177.0,0.618555,2671822.0
BFA,BFA_7336,Pissila,4.0,2015,2015,9385.0,0.899137,5196165.0
BFA,BFA_7344,Po,11.0,2015,2015,14391.0,2.791475,20307976.0
BFA,BFA_7374,Pouytenga,17.0,2015,2015,65598.0,4.743983,31249406.0
BFA,BFA_7501,Reo,19.0,2015,2015,15764.0,1.85277,7360549.0
BFA,BFA_7537,Rollo,2.0,2015,2015,3085.0,0.277207,1185753.0
BFA,BFA_7553,Rouko,2.0,2015,2015,3300.0,0.277638,884309.0
BFA,BFA_7619,Sabou,5.0,2015,2015,8378.0,0.997521,6595489.0
BFA,BFA_7784,Sapouy,4.0,2015,2015,6299.0,0.901464,6462621.0
BFA,BFA_7837,Seguenega,2.0,2015,2015,7241.0,0.451101,2276215.0
BFA,BFA_8157,Solenzo,9.0,2015,2015,18056.0,1.888264,10721007.0
BFA,BFA_8182,Soubakaniedougo,3.0,2015,2015,2512.0,0.38074,1759132.0
BFA,BFA_8360,Tanghin-Dassouri,7.0,2015,2015,7271.0,1.100867,5915626.0
BFA,BFA_8451,Tenkodogo,24.0,2015,2015,45490.0,5.024761,31000024.0
BFA,BFA_8529,Titao,5.0,2015,2015,11452.0,0.689864,2916780.0
BFA,BFA_8543,To,5.0,2015,2015,3917.0,0.506699,1844001.0
BFA,BFA_8557,Toma,6.0,2015,2015,9906.0,1.01943,5142852.0
BFA,BFA_8590,Tougan,8.0,2015,2015,21991.0,1.792919,10295055.0
BFA,BFA_9045,Yako,13.0,2015,2015,31135.0,2.340234,16352278.0
BFA,BFA_9049,Yalgo,4.0,2015,2015,6946.0,0.661488,3401640.0
BFA,BFA_9100,Zabre,5.0,2015,2015,10819.0,0.967881,4686265.0
BFA,BFA_9170,Ziniare,20.0,2015,2015,32848.0,3.169873,15858669.0
BFA,BFA_9182,Zorgho,11.0,2015,2015,21068.0,2.134916,11789204.0
