ISO3_Code,Year,Rural_Pop,Urban_Pop,Total_Pop,Urbanization_Rate
ERI,1980.0,1375073.56735688,230723.432643118,1605796.9999999981,0.14368156911684246
ERI,1981.0,1409937.6740779602,240001.32592204202,1649939.0000000023,0.14546072668264806
ERI,1982.0,1445617.12131331,249843.87868668698,1695460.999999997,0.14736043983712244
ERI,1983.0,1476774.8514248698,259385.148575127,1736159.9999999967,0.1494016384291353
ERI,1984.0,1503081.44597606,268648.554023941,1771730.000000001,0.15163064012233288
ERI,1985.0,1528708.99224228,279107.007757721,1807816.000000001,0.15438905715942378
ERI,1986.0,1554247.35300755,290916.646992455,1845164.000000005,0.15766438484191878
ERI,1987.0,1582733.03013395,305935.969866048,1888668.9999999981,0.1619849586486824
ERI,1988.0,1614908.7528637298,323345.24713627005,1938254.0,0.16682294845581128
ERI,1989.0,1635824.4945885101,351192.50541149103,1987017.0000000012,0.17674358367919893
ERI,1990.0,1655288.33592333,377448.664076671,2032737.000000001,0.1856849479675289
ERI,1991.0,1538918.73395617,380652.266043833,1919571.000000003,0.19830069637634262
ERI,1992.0,1413248.70351084,385499.296489164,1798748.000000004,0.21431534405551148
ERI,1993.0,1424118.69896853,431887.301031473,1856006.0000000028,0.23269714700893873
ERI,1994.0,1430815.3678063399,483099.632193661,1913915.000000001,0.2524143612405257
ERI,1995.0,1473512.8932129801,551754.10678702,2025267.0,0.27243524275417513
ERI,1996.0,1507531.35299147,620932.647008528,2128463.999999998,0.2917280475537893
ERI,1997.0,1486562.81892544,665571.181074559,2152133.999999999,0.30926103164327096
ERI,1998.0,1473957.8997352,706461.1002647959,2180418.999999996,0.32400245102652164
ERI,1999.0,1471674.479465,741105.520534998,2212779.999999998,0.33492056170744433
ERI,2000.0,1480830.23606449,766200.763935508,2247030.999999998,0.34098361968994134
ERI,2001.0,1518449.80016304,793628.199836961,2312078.000000001,0.343253211975098
ERI,2002.0,1566393.62663948,826584.373360519,2392977.999999999,0.34542079925537106
ERI,2003.0,1627393.19470287,866509.805297127,2493902.999999997,0.34745128631591843
ERI,2004.0,1690639.36150269,907644.638497315,2598284.000000005,0.34932464599609325
ERI,2005.0,1727069.24963196,934144.750368041,2661214.000000001,0.3510220336914057
ERI,2006.0,1750449.47892487,953052.521075134,2703502.000000004,0.3525251770019525
ERI,2007.0,1772612.5766568,970609.423343202,2743222.000000002,0.3538209533691409
ERI,2008.0,1816820.6654394201,999506.334560585,2816327.000000005,0.3548971176147454
ERI,2009.0,1860542.91350784,1027342.08649216,2887885.0,0.3557420349121104
ERI,2010.0,1895679.12982765,1049506.8701723502,2945186.0,0.3563465499877937
ERI,2011.0,1928906.58218823,1069578.41781177,2998485.0,0.35670627593993964
ERI,2012.0,1953316.9905246,1083671.0094754,3036988.0,0.35682426452636623
ERI,2013.0,1977694.7971588098,1096665.20284119,3074360.0,0.3567133331298839
ERI,2014.0,1992061.98090946,1103111.01909054,3095173.0,0.35639720916748113
ERI,2015.0,2000250.89852623,1105295.10147377,3105546.0,0.35591007232666017
ERI,2016.0,2014635.63767074,1110062.36232926,3124698.0,0.35525428771972845
ERI,2017.0,2033778.50100842,1116568.4989915802,3150347.0,0.35442714691161964
ERI,2018.0,2064275.65058441,1128484.34941559,3192760.0,0.3534510421752935
ERI,2019.0,2098504.08450432,1141689.91549568,3240194.0,0.3523523330688471
ERI,2020.0,2135503.06976509,1155766.93023491,3291270.0,0.35116138458251983
ERI,2021.0,2178050.65616814,1172132.34383186,3350183.0,0.34987113952636617
ERI,2022.0,2221359.47088962,1188087.52911038,3409447.0,0.3484692764282243
ERI,2023.0,2266289.48245773,1204100.51754227,3470390.0,0.3469640350341806
ERI,2024.0,2314527.61621666,1221075.38378334,3535603.0,0.3453655242919921
ERI,2025.0,2361127.91693792,1245875.08306208,3607003.0,0.34540450425521685
ERI,2026.0,2410197.43081754,1272471.56918246,3682669.0,0.34552971477546857
ERI,2027.0,2460211.2958050603,1300162.70419494,3760374.0,0.34575356179862426
ERI,2028.0,2511113.8564725504,1329029.14352745,3840143.0000000005,0.3460884512705516
ERI,2029.0,2561845.01649801,1358626.98350199,3920472.0,0.3465467891371218
ERI,2030.0,2613180.51392101,1389491.48607899,4002672.0,0.34714098134420956
ERI,2031.0,2663926.17013509,1421119.8298649099,4085046.0,0.3478834338376875
ERI,2032.0,2713289.94573276,1453224.05426724,4166514.0,0.3487865525634235
ERI,2033.0,2762762.17245929,1486743.82754071,4249506.0,0.3498627434672901
ERI,2034.0,2812700.47542485,1522029.5245751499,4334730.0,0.35112441249516113
ERI,2035.0,2862175.7896630703,1558746.2103369301,4420922.0,0.352583965592908
ERI,2036.0,2912158.40640965,1597598.59359035,4509757.0,0.35425380870640033
