ISO3_Code,Category,Year,Pop
ETH,Rural,1954,11395856.0
ETH,Towns,1954,7034964.0
GAB,Cities,1954,0.0
GAB,Rural,1954,150636.0
GAB,Towns,1954,334515.0
GHA,Cities,1954,575123.0
GHA,Rural,1954,3030867.0
GHA,Towns,1954,2123438.0
GIN,Cities,1954,107265.0
GIN,Rural,1954,2106502.0
GIN,Towns,1954,1000793.0
GMB,Cities,1954,0.0
GMB,Rural,1954,228245.0
GMB,Towns,1954,111567.0
GNB,Cities,1954,0.0
GNB,Rural,1954,321261.0
GNB,Towns,1954,239717.0
GNQ,Cities,1954,0.0
GNQ,Rural,1954,105854.0
GNQ,Towns,1954,137121.0
KEN,Cities,1954,229884.0
KEN,Rural,1954,4786081.0
KEN,Towns,1954,1332176.0
LBR,Cities,1954,0.0
LBR,Rural,1954,611965.0
LBR,Towns,1954,382804.0
LSO,Cities,1954,0.0
LSO,Rural,1954,538503.0
LSO,Towns,1954,89391.0
MDG,Cities,1954,117678.0
MDG,Rural,1954,3775361.0
MDG,Towns,1954,484280.0
MLI,Cities,1954,136291.0
MLI,Rural,1954,3518025.0
MLI,Towns,1954,1318594.0
MOZ,Cities,1954,259577.0
MOZ,Rural,1954,3967345.0
MOZ,Towns,1954,1970056.0
MRT,Cities,1954,0.0
MRT,Rural,1954,573070.0
MRT,Towns,1954,141602.0
MUS,Cities,1954,204783.0
MUS,Rural,1954,112455.0
MUS,Towns,1954,268241.0
MWI,Cities,1954,0.0
MWI,Rural,1954,2922806.0
MWI,Towns,1954,258723.0
NAM,Cities,1954,0.0
NAM,Rural,1954,431710.0
NAM,Towns,1954,108305.0
NER,Cities,1954,0.0
NER,Rural,1954,2091310.0
NER,Towns,1954,855574.0
NGA,Cities,1954,4673504.0
NGA,Rural,1954,13680839.0
NGA,Towns,1954,21821981.0
RWA,Cities,1954,0.0
RWA,Rural,1954,1363390.0
RWA,Towns,1954,1118732.0
SDN,Cities,1954,530193.0
SDN,Rural,1954,3686482.0
SDN,Towns,1954,2752960.0
SEN,Cities,1954,571240.0
SEN,Rural,1954,1292973.0
SEN,Towns,1954,967177.0
SLE,Cities,1954,132442.0
SLE,Rural,1954,1077164.0
SLE,Towns,1954,885460.0
SOM,Cities,1954,341063.0
SOM,Rural,1954,1173730.0
SOM,Towns,1954,952520.0
SSA,Cities,1954,15604299.0
SSA,Rural,1954,112011207.0
SSA,Towns,1954,71736370.0
SSD,Cities,1954,84080.0
SSD,Rural,1954,2256184.0
SSD,Towns,1954,316830.0
STP,Cities,1954,0.0
STP,Rural,1954,14062.0
STP,Towns,1954,49925.0
SWZ,Cities,1954,0.0
SWZ,Rural,1954,266387.0
SWZ,Towns,1954,33543.0
SYC,Cities,1954,0.0
SYC,Rural,1954,13618.0
SYC,Towns,1954,26063.0
TCD,Cities,1954,113728.0
TCD,Rural,1954,1680986.0
TCD,Towns,1954,918290.0
TGO,Cities,1954,46533.0
TGO,Rural,1954,801219.0
TGO,Towns,1954,655009.0
TZA,Cities,1954,74308.0
TZA,Rural,1954,7091860.0
TZA,Towns,1954,1258617.0
UGA,Cities,1954,202467.0
UGA,Rural,1954,5391570.0
UGA,Towns,1954,834341.0
ZAF,Cities,1954,1962047.0
ZAF,Rural,1954,7088406.0
ZAF,Towns,1954,5153326.0
ZMB,Cities,1954,0.0
ZMB,Rural,1954,1422274.0
ZMB,Towns,1954,1200003.0
ZWE,Cities,1954,291426.0
ZWE,Rural,1954,2387597.0
ZWE,Towns,1954,484860.0
AFE,Cities,1955,8330541.0
AFE,Rural,1955,72722395.0
AFE,Towns,1955,34351635.0
AFW,Cities,1955,8186564.0
AFW,Rural,1955,41257417.0
AFW,Towns,1955,38820244.0
AGO,Cities,1955,1087057.0
AGO,Rural,1955,1978356.0
AGO,Towns,1955,1767351.0
BDI,Cities,1955,0.0
BDI,Rural,1955,1570278.0
BDI,Towns,1955,934372.0
BEN,Cities,1955,196177.0
BEN,Rural,1955,1031686.9999999999
BEN,Towns,1955,1125782.0
BFA,Cities,1955,52314.0
BFA,Rural,1955,3349419.0
BFA,Towns,1955,1067319.0
BWA,Cities,1955,0.0
BWA,Rural,1955,241326.0
BWA,Towns,1955,222600.0
CAF,Cities,1955,128104.99999999999
CAF,Rural,1955,892346.0
CAF,Towns,1955,538912.0
CIV,Cities,1955,192181.0
CIV,Rural,1955,2004300.0
CIV,Towns,1955,940147.0
CMR,Cities,1955,486006.0
CMR,Rural,1955,1894494.0
CMR,Towns,1955,2319758.0
COD,Cities,1955,1830305.0
COD,Rural,1955,7145217.0
COD,Towns,1955,4654829.0
COG,Cities,1955,400335.0
COG,Rural,1955,242410.0
COG,Towns,1955,291687.0
COM,Cities,1955,0.0
COM,Rural,1955,93535.0
COM,Towns,1955,86051.0
CPV,Cities,1955,0.0
CPV,Rural,1955,81472.0
CPV,Towns,1955,114142.0
ERI,Cities,1955,238882.0
ERI,Rural,1955,432939.0
ERI,Towns,1955,214415.0
ETH,Cities,1955,654142.0
ETH,Rural,1955,11576916.0
ETH,Towns,1955,7188712.0
GAB,Cities,1955,0.0
GAB,Rural,1955,152443.0
GAB,Towns,1955,336374.0
GHA,Cities,1955,609879.0
GHA,Rural,1955,3101216.0
GHA,Towns,1955,2203829.0
GIN,Cities,1955,115831.0
GIN,Rural,1955,2136501.0
GIN,Towns,1955,1015528.0
GMB,Cities,1955,0.0
GMB,Rural,1955,233001.0
GMB,Towns,1955,115788.0
GNB,Cities,1955,0.0
GNB,Rural,1955,323442.0
GNB,Towns,1955,240626.0
GNQ,Cities,1955,0.0
GNQ,Rural,1955,108386.0
GNQ,Towns,1955,138829.0
KEN,Cities,1955,241558.0
KEN,Rural,1955,4898239.0
KEN,Towns,1955,1389500.0
LBR,Cities,1955,0.0
LBR,Rural,1955,625054.0
LBR,Towns,1955,391336.0
LSO,Cities,1955,0.0
LSO,Rural,1955,549753.0
LSO,Towns,1955,92435.0
MDG,Cities,1955,120981.0
MDG,Rural,1955,3863144.0
MDG,Towns,1955,505988.0
MLI,Cities,1955,140882.0
MLI,Rural,1955,3563430.0
MLI,Towns,1955,1337622.0
MOZ,Cities,1955,277625.0
MOZ,Rural,1955,4016897.0
MOZ,Towns,1955,1979950.0
MRT,Cities,1955,0.0
MRT,Rural,1955,584997.0
MRT,Towns,1955,145727.0
MUS,Cities,1955,212503.0
