 ISO3_Code , Category , Year , Pop , Pop_Rel 
 TGO , Urban ," 1,952 "," 108,573 ", 0 
 TZA , Rural ," 1,952 "," 7,678,120 ", 1 
 TZA , Urban ," 1,952 "," 330,959 ", 0 
 UGA , Rural ," 1,952 "," 5,869,905 ", 1 
 UGA , Urban ," 1,952 "," 207,135 ", 0 
 ZAF , Rural ," 1,952 "," 7,710,805 ", 1 
 ZAF , Urban ," 1,952 "," 5,884,738 ", 0 
 ZMB , Rural ," 1,952 "," 2,174,090 ", 1 
 ZMB , Urban ," 1,952 "," 293,161 ", 0 
 ZWE , Rural ," 1,952 "," 2,650,794 ", 1 
 ZWE , Urban ," 1,952 "," 322,109 ", 0 
 AFE , Rural ," 1,953 "," 96,037,020 ", 1 
 AFE , Urban ," 1,953 "," 14,244,537 ", 0 
 AFW , Rural ," 1,953 "," 75,691,163 ", 1 
 AFW , Urban ," 1,953 "," 9,244,443 ", 0 
 AGO , Rural ," 1,953 "," 4,362,124 ", 1 
 AGO , Urban ," 1,953 "," 344,235 ", 0 
 BDI , Rural ," 1,953 "," 2,373,322 ", 1 
 BDI , Urban ," 1,953 "," 31,864 ", 0 
 BEN , Rural ," 1,953 "," 2,138,725 ", 1 
 BEN , Urban ," 1,953 "," 167,477 ", 0 
 BFA , Rural ," 1,953 "," 4,164,996 ", 1 
 BFA , Urban ," 1,953 "," 196,321 ", 0 
 BWA , Rural ," 1,953 "," 431,871 ", 1 
 BWA , Urban ," 1,953 "," 12,102 ", 0 
 CAF , Rural ," 1,953 "," 1,253,513 ", 1 
 CAF , Urban ," 1,953 "," 255,435 ", 0 
 CIV , Rural ," 1,953 "," 2,623,506 ", 1 
 CIV , Urban ," 1,953 "," 341,626 ", 0 
 CMR , Rural ," 1,953 "," 4,018,801 ", 1 
 CMR , Urban ," 1,953 "," 519,645 ", 0 
 COD , Rural ," 1,953 "," 10,287,809 ", 1 
 COD , Urban ," 1,953 "," 2,781,641 ", 0 
 COG , Rural ," 1,953 "," 594,793 ", 1 
 COG , Urban ," 1,953 "," 297,673 ", 0 
 COM , Rural ," 1,953 "," 158,035 ", 1 
 COM , Urban ," 1,953 "," 14,565 ", 0 
 CPV , Rural ," 1,953 "," 178,878 ", 1 
 CPV , Urban ," 1,953 "," 12,668 ", 0 
 ERI , Rural ," 1,953 "," 784,925 ", 1 
 ERI , Urban ," 1,953 "," 69,777 ", 0 
 ETH , Rural ," 1,953 "," 17,506,662 ", 1 
 ETH , Urban ," 1,953 "," 1,168,114 ", 0 
 GAB , Rural ," 1,953 "," 426,270 ", 1 
 GAB , Urban ," 1,953 "," 55,482 ", 0 
 GHA , Rural ," 1,953 "," 4,576,188 ", 1 
 GHA , Urban ," 1,953 "," 977,782 ", 0 
 GIN , Rural ," 1,953 "," 2,900,467 ", 1 
 GIN , Urban ," 1,953 "," 262,055 ", 0 
 GMB , Rural ," 1,953 "," 296,640 ", 1 
 GMB , Urban ," 1,953 "," 34,449 ", 0 
 GNB , Rural ," 1,953 "," 495,120 ", 1 
 GNB , Urban ," 1,953 "," 62,505 ", 0 
 GNQ , Rural ," 1,953 "," 192,292 ", 1 
 GNQ , Urban ," 1,953 "," 46,504 ", 0 
 KEN , Rural ," 1,953 "," 5,771,249 ", 1 
 KEN , Urban ," 1,953 "," 412,642 ", 0 
