iso3cd,hazard,sector,Loss,RP,Buildings_Loss,Total_AAL,Buildings_AAL,Scaling_Factor,CAP_Stock,GDP
COG,Combined,all_assets,"956,216,240",10,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Combined,all_assets,"1,881,483,242",25,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Combined,all_assets,"2,579,572,506",50,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Combined,all_assets,"2,855,090,189",100,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Combined,all_assets,"3,002,038,697",250,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Combined,all_assets,"3,123,168,614",500,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Combined,all_assets,"3,264,360,007",1000,0,"371,958,572",305306119.9,0,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"9,792,703",10,6396598.2,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"25,179,353",25,16447164.8,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"51,750,871",50,33803692.7,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"103,475,707",100,67590379.2,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"257,098,680",250,167936974.7,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"471,785,519",500,308170515.8,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Earthquake,all_assets,"681,854,883",1000,445387920.1,"6,571,022",4292194.3,1.53092361172932,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"923,206,379",10,760556773.3,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"1,865,293,552",25,1536667940.4,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"2,572,228,763",50,2119055990.7,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"2,847,915,765",100,2346172724.3,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"2,988,076,974",250,2461640466.9,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"3,104,512,901",500,2557562824.7,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COG,Flood,all_assets,"3,236,766,358",1000,2666515995.8,"365,387,550",301013925.6,1.21385596886153,"94,658,573,414","9,439,867,227"
COM,Combined,all_assets,"6,629,264",10,0,"3,728,175",2316569.9,0,"6,055,683,198","1,090,575,423"
COM,Combined,all_assets,"15,903,808",25,0,"3,728,175",2316569.9,0,"6,055,683,198","1,090,575,423"
