ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
CPV,1995,built_s,COASTAL_DEFENDED,1in10,2020,0.030131443,0.000103002,0.00068509
CPV,1995,built_s,COASTAL_DEFENDED,1in100,2020,0.035001109,0.000197113,0.001130148
CPV,1995,built_s,COASTAL_DEFENDED,1in5,2020,0.016294005,3.42E-05,0.000420583
CPV,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.102878539,0.005059844,0.01013771
CPV,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1995,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.006642888,0.000313445,0.009713784
CPV,2000,built_s,COASTAL_DEFENDED,1in10,2020,0.030267105,0.000135662,0.000898851
CPV,2000,built_s,COASTAL_DEFENDED,1in100,2020,0.035262563,0.000261453,0.001489527
CPV,2000,built_s,COASTAL_DEFENDED,1in5,2020,0.016332671,3.87E-05,0.000474154
CPV,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.113185188,0.010306648,0.019278729
CPV,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,2000,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,0.00727811,0.000635222,0.018432708
CPV,2005,built_s,COASTAL_DEFENDED,1in10,2020,0.040427008,0.010159902,0.059595589
CPV,2005,built_s,COASTAL_DEFENDED,1in100,2020,0.049529016,0.014266453,0.070308971
CPV,2005,built_s,COASTAL_DEFENDED,1in5,2020,0.021314996,0.004982325,0.054691897
CPV,2005,built_s,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,0.118234969,0.005049781,0.008767935
