ISO_A3,ghsl_year,ghsl_type,flood_type,return_period,fathom_year,ftm3_ghsl_total_pop_#,ftm3_ghsl_new_pop_#,ftm3_ghsl_rate_pop_%
BDI,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,230141.984375,28410.84375,0.0267024109751008
BDI,2020,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,7978.22802734375,1383.42041015625,0.0388213405633894
CPV,1975,pop,COASTAL_DEFENDED,1in10,2020,405.9788513183594,,
CPV,1975,pop,COASTAL_DEFENDED,1in100,2020,446.9752197265625,,
CPV,1975,pop,COASTAL_DEFENDED,1in5,2020,313.6781311035156,,
CPV,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,5534.2197265625,,
CPV,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1975,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,919.040283203125,,
CPV,1980,pop,COASTAL_DEFENDED,1in10,2020,378.6597900390625,-27.319061279296875,-0.0138359742621674
CPV,1980,pop,COASTAL_DEFENDED,1in100,2020,418.0642700195313,-28.91094970703125,-0.0132845666866177
CPV,1980,pop,COASTAL_DEFENDED,1in5,2020,265.741455078125,-47.93667602539063,-0.032624657610823
CPV,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,5795.71337890625,261.49365234375,0.0092763584287032
CPV,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1980,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,875.2335815429688,-43.80670166015625,-0.0097202805003231
CPV,1985,pop,COASTAL_DEFENDED,1in10,2020,380.8094177246094,2.149627685546875,0.0011328178922431
CPV,1985,pop,COASTAL_DEFENDED,1in100,2020,421.3080749511719,3.243804931640625,0.0015470271771631
CPV,1985,pop,COASTAL_DEFENDED,1in5,2020,243.6091461181641,-22.132308959960938,-0.0172413927520084
CPV,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,6517.89013671875,722.1767578125,0.0237644088256321
CPV,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1985,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,774.1245727539062,-101.1090087890625,-0.0242526597173483
CPV,1990,pop,COASTAL_DEFENDED,1in10,2020,391.5776977539063,10.768280029296877,0.0055925650102888
CPV,1990,pop,COASTAL_DEFENDED,1in100,2020,436.6122741699219,15.30419921875,0.0071617679190469
CPV,1990,pop,COASTAL_DEFENDED,1in5,2020,234.67469787597656,-8.9344482421875,-0.0074451048672244
CPV,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,6873.68115234375,355.791015625,0.0106865107552267
CPV,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in100,2020,,,
CPV,1990,pop,FLUVIAL_PLUVIAL_DEFENDED,1in5,2020,763.438720703125,-10.68585205078125,-0.0027761287963339
CPV,1995,pop,COASTAL_DEFENDED,1in10,2020,394.9552001953125,3.37750244140625,0.001719152812954
CPV,1995,pop,COASTAL_DEFENDED,1in100,2020,441.5599365234375,4.947662353515625,0.0022561834793619
CPV,1995,pop,COASTAL_DEFENDED,1in5,2020,231.69981384277344,-2.974884033203125,-0.0025482801696515
CPV,1995,pop,FLUVIAL_PLUVIAL_DEFENDED,1in10,2020,7599.068359375,725.38720703125,0.0202678313104363
