ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2080,0.47339413,0.004325539,0.0003060233113123
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2030,1.1578343,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2050,1.17328,0.015445709,0.0006628155503021
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2080,1.184073,0.010792971,0.0003052789193036
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2030,11.594802,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2050,11.427631,-0.16717052,-0.0007258690796851
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2080,11.276415,-0.1512165,-0.0004439300726161
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2030,0.4574278,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2050,0.48111558,0.02368778,0.0025276133783584
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2080,0.51170415,0.030588567,0.0020567469077619
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2030,1.158979,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2050,1.1761209,0.017141819,0.0007343747331907
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2080,1.216471,0.04035008,0.0011250434435507
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2030,11.595576,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2050,11.422472,-0.17310429,-0.000751767837298
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2080,11.115822,-0.30665016,-0.0009066944477764
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2030,0.4580843,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2050,0.489968,0.031883717,0.0033700083214154
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2080,0.5432506,0.05328262,0.0034469491572557
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2030,1.1617202,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2050,1.1813873,0.019667149,0.0008397365334487
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2080,1.2669314,0.08554411,0.0023329948522183
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2030,11.589699,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2050,11.290496,-0.29920292,-0.0013069127538252
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2080,10.976998,-0.31349754,-0.0009382030625244
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2030,0.46160635,,
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2050,0.50402415,0.042417794,0.0044052571162651
BWA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in5,2080,0.568351,0.06432682,0.004011856351674
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2030,3.8197895,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2050,4.201162,0.3813724999999999,0.0047696305129372
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in10,2080,4.371172,0.1700099999999995,0.0013232083913707
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2030,50.1836,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2050,52.293424,2.1098240000000037,0.0020612387846214
