city_name,covers_by_area_threshold,area_ratio_2020_over_2015,area_2015,area_2020
2466.0,True,1.1984455730286707,7815987.293709908,9367035.37099498
2451.0,True,1.4026765032389332,4290022.572350078,6017513.860600101
6349.0,True,1.1003148637087417,4657652.434401268,5124884.20356092
5367.0,True,1.0785411660401922,8002518.876397269,8631046.040208159
1916.0,True,1.0155117467889156,1553403.1100987515,1577499.1058037174
2379.0,True,1.1164773478763863,14952003.253354419,16693572.937744241
5522.0,True,1.0134961179580013,14977909.520363485,15180053.154014582
3100.0,True,1.1905870065951458,3255317.2568427715,3875738.428341957
1144.0,True,1.0095240321547756,6344936.357588394,6405365.73547807
5312.0,True,1.0987529548271686,4503194.433305837,4947898.189756046
6519.0,True,1.0222912937033508,6836825.506619444,6989227.191986058
1429.0,True,1.6982071335563573,3439563.5681898138,5841091.3878205
648.0,True,1.1652517803435265,2338106.8934926065,2724483.2202757318
7700.0,True,1.4119498616178856,1016485.9652050583,1435227.217907805
6396.0,True,3.394223643485692,30897973.886718396,104874633.50210309
179.0,True,1.0995615040306206,3162661.03535856,3477540.3247778974
1354.0,True,1.075889692912624,35159988.72661292,37828269.47388689
8920.0,True,1.2786426094822663,9588969.032256095,12260864.385648575
2954.0,True,1.0506848622200955,2707854.3451378564,2845101.5695332554
2193.0,True,1.0022779032669364,1793341.6673826505,1797426.7262255147
4909.0,True,1.0,5498674.777004885,5498674.777004885
5779.0,True,1.1020634544757235,32622161.33596916,35951691.81438256
5729.0,True,1.1760781187816232,1023554.9422570958,1203780.5709593582
2703.0,True,1.5502491966059773,2098223.5001620348,3252769.295425976
4841.0,True,1.3187496758402015,2169849.4691551435,2861488.2840703786
796.0,True,1.3097698810558245,939312.4902820843,1230283.208671016
2172.0,True,1.1943826666259398,4308484.730572564,5145979.4816184025
4598.0,True,1.0344222866687542,9201999.877833981,9518753.755554624
23.0,True,1.2272208811048169,1365128.6817305745,1675314.4236148526
4712.0,True,1.7342314503153475,5711504.012698316,9905069.887423728
3283.0,True,1.4198852323792197,1927040.7074724291,2736176.642733706
5441.0,True,2.451531027900453,5874821.710736595,14402307.707253983
3510.0,True,1.0000000000000007,756606.3215449568,756606.3215449573
