ISO_A3,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
KEN,2025,56980864,3645.1167,11497278000.0,10,FLUVIAL_PLUVIAL_DEFENDED,480332,0.0084297072083708,46.01747894287109,0.0126244185687481,137243520.0,0.0119370440952381
KEN,2025,56980864,3645.1167,11497278000.0,100,FLUVIAL_PLUVIAL_DEFENDED,2277192,0.0399641535797,158.97186279296875,0.0436122834769709,522341792.0,0.0454317770623321
LBR,2015,4609291,188.27751,966425000.0,10,FLUVIAL_PLUVIAL_DEFENDED,94455,0.0204923056496107,3.2772881984710693,0.017406689575819,11336401.0,0.0117302436489889
LBR,2015,4609291,188.27751,966425000.0,100,FLUVIAL_PLUVIAL_DEFENDED,332601,0.0721588200875145,12.004910469055176,0.0637617863506269,48237376.0,0.049913210856593
LBR,2020,5094202,201.01454,1009069000.0,10,FLUVIAL_PLUVIAL_DEFENDED,102655,0.020151340681033,3.522250175476074,0.0175223650338185,12036606.0,0.0119284271892481
LBR,2020,5094202,201.01454,1009069000.0,100,FLUVIAL_PLUVIAL_DEFENDED,363346,0.0713254009165714,12.912014961242676,0.0642342332887925,51014696.0,0.0505562022066376
LBR,2025,5672239,210.62671,1036585660.0,10,FLUVIAL_PLUVIAL_DEFENDED,112435,0.0198219785872915,3.859998941421509,0.018326255772756,12980501.0,0.0125223620688622
LBR,2025,5672239,210.62671,1036585660.0,100,FLUVIAL_PLUVIAL_DEFENDED,401036,0.0707015342618673,14.204263687133787,0.0674380934669947,54893120.0,0.0529557005334003
LSO,2015,2092111,175.99173,687101500.0,10,FLUVIAL_PLUVIAL_DEFENDED,16151,0.0077199536735861,0.911975085735321,0.0051819201226196,2962208.5,0.0043111657924707
LSO,2015,2092111,175.99173,687101500.0,100,FLUVIAL_PLUVIAL_DEFENDED,55015,0.0262964058790379,3.598348617553711,0.0204461233658239,16463538.0,0.0239608528058177
LSO,2020,2222094,210.379,783501440.0,10,FLUVIAL_PLUVIAL_DEFENDED,17169,0.0077264958188087,1.2318530082702637,0.005855399165963,3813419.25,0.0048671502760735
LSO,2020,2222094,210.379,783501440.0,100,FLUVIAL_PLUVIAL_DEFENDED,58431,0.0262954672484602,4.489593029022217,0.0213405001255494,18912272.0,0.0241381458086407
LSO,2025,2350396,229.10924,832898200.0,10,FLUVIAL_PLUVIAL_DEFENDED,18288,0.007780816509218,1.6210869550704956,0.0070756071276317,4840353.0,0.0058114582784246
LSO,2025,2350396,229.10924,832898200.0,100,FLUVIAL_PLUVIAL_DEFENDED,62096,0.0264193778410106,5.558988094329834,0.0242634830041859,21828104.0,0.0262074100159873
MDG,2015,25093544,732.1345,2613463600.0,10,FLUVIAL_PLUVIAL_DEFENDED,881879,0.0351436608555571,21.52861213684082,0.0294052684378171,57039724.0,0.0218253374746126
MDG,2015,25093544,732.1345,2613463600.0,100,FLUVIAL_PLUVIAL_DEFENDED,2589661,0.1032002892855628,63.144649505615234,0.0862473324951155,193659920.0,0.0741008688840517
MDG,2020,28585972,821.7071,2840527600.0,10,FLUVIAL_PLUVIAL_DEFENDED,992998,0.0347372480459996,24.378700256347656,0.0296683580867615,64210228.0,0.0226050356413785
MDG,2020,28585972,821.7071,2840527600.0,100,FLUVIAL_PLUVIAL_DEFENDED,2915233,0.101981244506921,70.63911437988281,0.0859662950984594,212739760.0,0.0748944522847406
MDG,2025,32351544,921.53284,3097923300.0,10,FLUVIAL_PLUVIAL_DEFENDED,1123332,0.0347226704233961,30.84228515625,0.0334684602878955,80803400.0,0.0260830858109603
