,ISO3,year,RP,SSP,Future_RP,EP,Future_EP,mult,xmax_2050_RP5-10-100
117,BDI,2085.0,5.0,SSP5-8.5,1.67,0.2,0.5988023952095809,2.9940119760479043,39.64321110009911
118,BDI,2085.0,10.0,SSP5-8.5,2.74,0.1,0.36496350364963503,3.6496350364963503,19.821605550049554
119,BDI,2085.0,100.0,SSP5-8.5,13.35,0.01,0.0749063670411985,7.490636704119851,1.9821605550049552
120,BEN,2025.0,5.0,SSP1-1.9,3.39,0.2,0.2949852507374631,1.4749262536873156,39.64321110009911
121,BEN,2025.0,10.0,SSP1-1.9,6.26,0.1,0.1597444089456869,1.5974440894568689,19.821605550049554
122,BEN,2025.0,100.0,SSP1-1.9,49.48,0.01,0.02021018593371059,2.021018593371059,1.9821605550049552
123,BEN,2025.0,5.0,SSP1-2.6,3.7,0.2,0.27027027027027023,1.351351351351351,39.64321110009911
124,BEN,2025.0,10.0,SSP1-2.6,6.95,0.1,0.14388489208633093,1.4388489208633093,19.821605550049554
125,BEN,2025.0,100.0,SSP1-2.6,59.0,0.01,0.01694915254237288,1.694915254237288,1.9821605550049552
126,BEN,2025.0,5.0,SSP2-4.5,3.57,0.2,0.2801120448179272,1.4005602240896358,39.64321110009911
127,BEN,2025.0,10.0,SSP2-4.5,6.74,0.1,0.14836795252225518,1.4836795252225516,19.821605550049554
128,BEN,2025.0,100.0,SSP2-4.5,56.19,0.01,0.01779676098949991,1.7796760989499911,1.9821605550049552
129,BEN,2025.0,5.0,SSP3-7.0,3.66,0.2,0.27322404371584696,1.3661202185792347,39.64321110009911
130,BEN,2025.0,10.0,SSP3-7.0,6.96,0.1,0.14367816091954022,1.4367816091954022,19.821605550049554
131,BEN,2025.0,100.0,SSP3-7.0,58.93,0.01,0.016969285593076533,1.6969285593076533,1.9821605550049552
132,BEN,2025.0,5.0,SSP5-8.5,3.39,0.2,0.2949852507374631,1.4749262536873156,39.64321110009911
133,BEN,2025.0,10.0,SSP5-8.5,6.34,0.1,0.15772870662460567,1.5772870662460565,19.821605550049554
134,BEN,2025.0,100.0,SSP5-8.5,50.7,0.01,0.01972386587771203,1.9723865877712032,1.9821605550049552
135,BEN,2050.0,5.0,SSP1-1.9,3.51,0.2,0.2849002849002849,1.4245014245014245,39.64321110009911
136,BEN,2050.0,10.0,SSP1-1.9,6.57,0.1,0.15220700152207,1.5220700152207,19.821605550049554
137,BEN,2050.0,100.0,SSP1-1.9,55.17,0.01,0.0181257930034439,1.81257930034439,1.9821605550049552
138,BEN,2050.0,5.0,SSP1-2.6,3.34,0.2,0.29940119760479045,1.4970059880239521,39.64321110009911
139,BEN,2050.0,10.0,SSP1-2.6,6.33,0.1,0.1579778830963665,1.5797788309636651,19.821605550049554
140,BEN,2050.0,100.0,SSP1-2.6,50.65,0.01,0.019743336623889437,1.9743336623889436,1.9821605550049552
141,BEN,2050.0,5.0,SSP2-4.5,3.0,0.2,0.3333333333333333,1.6666666666666665,39.64321110009911
142,BEN,2050.0,10.0,SSP2-4.5,5.48,0.1,0.18248175182481752,1.8248175182481752,19.821605550049554
143,BEN,2050.0,100.0,SSP2-4.5,41.48,0.01,0.024108003857280617,2.4108003857280615,1.9821605550049552
144,BEN,2050.0,5.0,SSP3-7.0,2.86,0.2,0.3496503496503497,1.7482517482517483,39.64321110009911
145,BEN,2050.0,10.0,SSP3-7.0,5.23,0.1,0.19120458891013384,1.9120458891013383,19.821605550049554
146,BEN,2050.0,100.0,SSP3-7.0,39.1,0.01,0.02557544757033248,2.557544757033248,1.9821605550049552
147,BEN,2050.0,5.0,SSP5-8.5,2.71,0.2,0.36900369003690037,1.8450184501845017,39.64321110009911
148,BEN,2050.0,10.0,SSP5-8.5,4.86,0.1,0.20576131687242796,2.0576131687242794,19.821605550049554
149,BEN,2050.0,100.0,SSP5-8.5,32.76,0.01,0.030525030525030528,3.0525030525030528,1.9821605550049552
